date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
06/09/2018;09:15;0.291;3.1;8.93;-1205.7;9.09;11.415
;;0.324;3.0;8.92;-1205.7;9.04;11.41
;;0.348;2.9;8.93;-1205.7;9.02;11.404
;;0.349;3.0;8.93;-1205.7;8.96;11.403
;;0.35;3.0;8.93;-1205.7;8.93;11.403
;;0.351;3.0;8.93;-1205.7;8.98;11.403
;;0.369;3.0;8.92;-1205.6;8.98;11.398
;;0.386;2.9;8.93;-1205.6;8.98;11.395
;;0.468;2.9;8.93;-1205.6;8.96;11.391
;;0.639;2.8;8.92;-1205.6;8.96;11.384
;;0.835;2.8;8.92;-1205.6;8.95;11.377
;;1.064;2.8;8.92;-1205.7;8.93;11.368
;;1.237;2.8;8.92;-1205.7;8.92;11.362
;;1.465;2.8;8.92;-1205.7;8.93;11.358
;;1.673;2.8;8.92;-1205.7;8.94;11.354
;;1.948;2.8;8.92;-1205.6;8.92;11.348
;;2.176;2.8;8.92;-1205.7;8.87;11.344
;;2.376;2.8;8.92;-1205.7;8.85;11.34
;;2.632;2.8;8.92;-1205.7;8.87;11.336
;;2.856;2.8;8.92;-1205.7;8.84;11.332
;;3.217;2.8;8.92;-1205.7;8.83;11.329
;;3.403;2.8;8.92;-1205.7;8.86;11.328
;;3.553;2.8;8.92;-1205.6;8.9;11.326
;;3.755;2.8;8.92;-1205.7;8.94;11.32
;;3.92;2.8;8.92;-1205.6;8.95;11.319
;;4.125;2.9;8.92;-1205.6;8.94;11.318
;;4.307;2.9;8.91;-1205.7;8.95;11.316
;;4.505;2.9;8.91;-1205.7;8.96;11.313
;;4.677;2.9;8.92;-1205.7;8.95;11.311
;;4.863;2.9;8.92;-1205.7;8.95;11.309
;;5.052;2.9;8.92;-1205.7;8.94;11.308
;;5.27;2.9;8.9;-1205.7;8.95;11.289
;;5.442;2.9;8.89;-1205.7;8.97;11.232
;;5.615;2.9;8.87;-1205.7;8.95;11.042
;;5.84;2.9;8.91;-1205.7;8.93;10.798
;;6.008;2.8;9.05;-1205.7;8.91;10.49
