date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
01/09/2020;;0.063;4.4;8.53;40.1;6.13;11.741
;;0.065;4.4;8.53;40.7;6.12;11.743
;;0.066;4.3;8.53;41.0;6.11;11.744
;;0.083;4.3;8.53;41.3;6.1;11.746
;;0.134;4.3;8.53;44.5;6.05;11.747
;;0.152;4.3;8.53;45.7;6.02;11.745
;;0.207;4.2;8.53;46.6;6.01;11.744
;;0.362;4.0;8.53;47.8;5.99;11.743
;;0.618;3.6;8.53;43.7;6.06;11.744
;;0.831;3.5;8.53;38.8;6.15;11.749
;;1.002;3.5;8.53;38.6;6.15;11.752
;;1.096;3.5;8.53;43.5;6.07;11.753
;;1.233;3.6;8.53;43.1;6.07;11.754
;;1.368;3.7;8.53;44.1;6.05;11.754
;;1.438;3.7;8.53;42.8;6.08;11.753
;;1.558;3.7;8.53;42.7;6.08;11.753
;;1.658;3.7;8.53;42.9;6.08;11.753
;;1.718;3.8;8.53;43.6;6.06;11.754
;;1.825;3.7;8.53;43.8;6.06;11.754
;;2.016;3.7;8.53;43.5;6.07;11.752
;;2.134;3.7;8.53;42.7;6.08;11.752
;;2.206;3.7;8.53;42.8;6.08;11.751
;;2.446;3.7;8.53;43.9;6.06;11.752
;;2.628;3.8;8.53;44.1;6.05;11.752
;;2.805;3.8;8.53;44.7;6.04;11.753
;;2.849;3.8;8.53;45.0;6.04;11.754
;;2.944;3.8;8.53;43.3;6.07;11.753
;;3.092;3.9;8.53;41.9;6.09;11.752
;;3.233;3.9;8.53;42.1;6.09;11.752
;;3.35;4.0;8.53;42.7;6.08;11.752
;;3.481;4.0;8.53;43.2;6.07;11.753
;;3.646;4.0;8.53;43.9;6.06;11.753
;;3.854;4.1;8.53;43.8;6.06;11.753
;;3.993;4.2;8.52;43.6;6.06;11.751
;;4.103;4.2;8.52;43.6;6.06;11.751
;;4.225;4.2;8.52;43.6;6.06;11.75
;;4.348;4.2;8.52;43.4;6.07;11.747
;;4.489;4.2;8.52;43.4;6.07;11.747
;;4.627;4.2;8.52;43.6;6.06;11.746
;;4.737;4.2;8.52;43.6;6.06;11.746
;;4.879;4.2;8.52;43.8;6.06;11.747
;;5.031;4.2;8.52;44.8;6.04;11.746
;;5.216;4.3;8.52;45.4;6.03;11.746
;;5.292;4.5;8.52;47.3;6.0;11.746
;;5.444;4.6;8.52;45.6;6.03;11.746
;;5.608;4.6;8.52;42.0;6.09;11.745
;;5.785;4.6;8.51;42.6;6.08;11.744
;;6.037;4.6;8.51;44.6;6.05;11.739
;;6.225;4.7;8.51;45.3;6.03;11.732
;;6.378;4.7;8.51;44.0;6.05;11.728
;;6.58;4.7;8.51;43.8;6.06;11.722
;;6.78;4.8;8.51;44.1;6.05;11.706
;;6.995;4.8;8.5;44.9;6.04;11.679
;;7.194;4.9;8.5;46.2;6.02;11.624
;;7.388;4.9;8.47;46.4;6.01;11.482
;;7.6;4.9;8.46;45.2;6.03;11.265
;;7.81;4.9;8.47;43.7;6.06;10.927
;;8.035;4.9;8.57;41.9;6.09;10.413
;;8.207;4.9;8.8;41.5;6.1;10.153
;;8.42;4.9;8.97;41.0;6.1;9.875
;;8.649;4.9;9.12;40.4;6.11;9.621
;;8.857;4.8;9.26;40.3;6.12;9.426
;;9.038;4.8;9.35;39.6;6.13;9.223
