date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
08/09/2016;16:13;0.061;2.6;;30.7;6.1;14.607
;;0.086;2.6;;30.5;6.11;14.604
;;0.095;2.6;;30.5;6.11;14.598
;;0.114;2.6;;31.1;6.1;14.594
;;0.118;2.7;;30.9;6.1;14.59
;;0.119;2.7;;31.0;6.1;14.587
;;0.12;2.7;;31.3;6.09;14.584
;;0.123;2.7;;31.8;6.08;14.582
;;0.15;2.7;;32.6;6.07;14.58
;;0.167;2.7;;34.8;6.03;14.58
;;0.168;2.7;;33.7;6.05;14.58
;;0.184;2.7;;35.8;6.02;14.578
;;0.286;2.7;;36.6;6.0;14.549
;;0.515;2.7;;40.4;5.94;14.26
;;0.693;2.7;;42.7;5.9;13.931
;;0.89;2.7;;43.4;5.89;13.693
;;1.008;2.7;;42.8;5.9;13.635
;;1.074;2.7;;42.6;5.9;13.606
;;1.181;2.7;;42.7;5.9;13.57
;;1.277;2.7;;43.7;5.88;13.524
;;1.393;2.8;;45.2;5.86;13.49
;;1.547;2.8;;45.8;5.84;13.432
;;1.599;2.8;;44.1;5.87;13.355
;;1.61;2.8;;45.4;5.85;13.378
;;1.686;2.8;;43.4;5.89;13.302
;;1.819;2.8;;42.4;5.9;13.188
;;1.942;2.8;;41.7;5.91;13.063
;;2.065;2.8;;41.4;5.92;12.976
;;2.168;2.8;;41.6;5.91;12.948
;;2.283;2.8;;42.4;5.9;12.892
;;2.412;2.8;;42.6;5.9;12.863
;;2.602;2.8;;42.3;5.9;12.812
;;2.68;2.8;;42.2;5.9;12.787
;;2.82;2.8;;42.7;5.89;12.762
;;2.915;2.9;;41.9;5.91;12.747
;;3.064;2.9;;42.8;5.89;12.731
;;3.158;2.9;;43.6;5.88;12.711
;;3.284;2.9;;43.1;5.89;12.678
;;3.364;2.9;;42.0;5.91;12.66
;;3.502;2.9;;42.7;5.89;12.635
;;3.637;2.9;;43.9;5.87;12.607
;;3.721;2.9;;44.2;5.87;12.591
;;3.824;2.9;;44.1;5.87;12.522
;;3.948;2.9;;43.0;5.89;12.467
;;4.04;2.9;;43.1;5.89;12.415
;;4.177;2.9;;44.0;5.87;12.286
;;4.359;2.9;;44.3;5.87;11.961
;;4.436;2.9;;43.9;5.87;11.663
;;4.602;2.9;;44.0;5.87;11.395
;;4.717;2.9;;43.4;5.88;11.168
;;4.796;2.9;;43.0;5.88;11.028
;;4.944;2.9;;43.5;5.87;10.749
;;5.049;2.9;;43.6;5.87;10.546
;;5.255;2.9;;44.4;5.86;10.38
;;5.408;2.9;;44.4;5.86;10.224
;;5.548;2.9;;44.0;5.86;10.091
;;5.714;2.9;;41.9;5.9;10.01
;;5.886;2.9;;41.7;5.9;9.887
;;6.123;2.9;;42.4;5.89;9.604
;;6.248;2.9;;41.7;5.9;9.398
;;6.449;2.9;;41.2;5.91;9.214
;;6.558;2.9;;41.4;5.9;9.011
;;6.731;2.9;;42.0;5.89;8.904
;;6.787;2.9;;42.3;5.89;8.841
;;6.909;2.8;;43.0;5.87;8.76
;;7.272;2.8;;43.8;5.86;8.557
;;7.415;2.8;;44.1;5.85;8.404
;;7.462;2.8;;43.6;5.86;8.352
;;7.484;2.8;;43.4;5.87;8.348
;;7.554;2.8;;43.3;5.87;8.301
;;7.776;2.8;;42.1;5.89;8.181
;;7.963;2.8;;40.6;5.91;8.079
;;8.051;2.8;;40.1;5.92;7.994
;;8.077;2.8;;39.4;5.93;7.959
;;8.082;2.8;;38.8;5.94;7.982
;;8.105;2.8;;38.7;5.94;7.961
;;8.132;2.8;;38.4;5.95;7.925
;;8.144;2.8;;38.1;5.96;7.921
;;8.162;2.8;;38.4;5.95;7.942
;;8.288;2.8;;39.2;5.94;7.837
;;8.289;2.8;;39.2;5.94;7.832
;;8.311;2.8;;39.9;5.92;7.79
;;8.423;2.8;;40.0;5.92;7.766
