date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;13.661;3.3;9.34;155.6;3.68;8.636
;;13.701;3.3;9.34;154.1;3.71;8.643
;;13.855;3.3;9.31;153.0;3.73;8.615
;;14.03;3.3;9.3;151.3;3.76;8.527
;;14.165;3.3;9.32;149.5;3.8;8.466
;;14.203;3.3;9.33;148.1;3.82;8.448
;;14.406;3.3;9.3;147.0;3.84;8.362
;;14.553;3.3;9.3;145.6;3.87;8.232
;;14.605;3.3;9.33;144.7;3.88;8.21
;;14.799;3.3;9.31;143.6;3.9;8.112
;;15.045;3.3;9.31;142.1;3.93;7.92
;;15.158;3.3;9.37;140.8;3.95;7.821
;;15.366;3.3;9.39;139.7;3.97;7.726
;;15.432;3.3;9.43;137.4;4.02;7.641
;;15.545;3.2;9.48;136.3;4.04;7.549
;;15.792;3.2;9.51;135.5;4.05;7.331
;;15.847;3.2;9.63;134.0;4.08;7.277
;;15.994;3.2;9.68;133.1;4.09;7.201
;;16.148;3.2;9.72;132.4;4.11;7.141
;;16.177;3.2;9.77;131.9;4.11;7.142
;;16.407;3.2;9.78;130.7;4.14;7.035
;;16.541;3.2;9.82;129.7;4.16;6.912
;;16.625;3.2;9.88;128.3;4.18;6.84
;;16.792;3.2;9.93;127.1;4.2;6.77
;;17.007;3.2;9.98;126.8;4.21;6.714
;;17.083;3.2;10.01;126.5;4.21;6.658
;;17.268;3.2;10.03;125.9;4.22;6.589
;;17.377;3.3;10.07;125.2;4.24;6.533
;;17.512;3.3;10.08;125.0;4.24;6.5
;;17.768;3.4;10.07;125.6;4.23;6.423
;;17.833;3.5;10.08;126.0;4.22;6.405
;;17.969;3.6;10.04;126.3;4.21;6.353
;;18.208;3.8;10.0;127.2;4.2;6.285
;;18.369;3.9;9.96;128.1;4.18;6.262
;;18.466;4.1;9.91;128.8;4.17;6.247
;;18.597;4.1;9.82;129.7;4.15;6.192
;;18.638;4.2;9.75;143.7;3.88;6.183
;;18.739;4.3;9.67;148.9;3.78;6.185
