date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
01/09/2014;13:57;0.02;2.0;11.33;43.5;6.13;11.678
;;0.028;2.0;11.36;51.9;5.98;11.644
;;0.035;2.0;11.39;53.8;5.95;11.615
;;0.045;3.0;11.41;52.0;5.98;11.584
;;0.056;3.0;11.43;60.4;5.83;11.559
;;0.061;3.0;11.45;61.4;5.81;11.531
;;0.074;3.0;11.47;61.8;5.81;11.505
;;0.079;3.0;11.49;61.3;5.82;11.483
;;0.087;3.0;11.51;54.2;5.94;11.477
;;0.098;3.0;11.52;57.1;5.89;11.466
;;0.103;3.0;11.54;59.4;5.85;11.459
;;0.116;3.0;11.57;57.0;5.89;11.457
;;0.119;3.0;11.59;55.4;5.92;11.456
;;0.132;3.0;11.61;55.1;5.92;11.457
;;0.142;3.0;11.62;55.4;5.92;11.456
;;0.15;3.0;11.64;55.8;5.91;11.454
;;0.158;3.0;11.65;56.3;5.9;11.454
;;0.166;3.0;11.66;56.9;5.89;11.453
;;0.174;3.0;11.67;57.4;5.88;11.452
;;0.184;3.0;11.68;57.8;5.88;11.451
;;0.192;3.0;11.69;61.6;5.81;11.45
;;0.2;3.0;11.7;60.9;5.82;11.449
;;0.208;3.0;11.7;60.4;5.83;11.449
;;0.216;3.0;11.71;60.9;5.82;11.446
;;0.226;3.0;11.71;60.9;5.82;11.444
;;0.234;3.0;11.72;60.7;5.83;11.442
;;0.242;3.0;11.72;60.3;5.83;11.44
;;0.25;3.0;11.73;60.0;5.84;11.439
;;0.26;3.0;11.73;59.6;5.85;11.439
;;0.268;3.0;11.73;59.1;5.85;11.44
;;0.276;3.0;11.74;58.9;5.86;11.44
;;0.284;3.0;11.74;58.7;5.86;11.44
;;0.292;3.0;11.74;58.6;5.86;11.439
;;0.297;3.0;11.77;54.5;5.93;11.401
;;0.298;3.0;11.77;54.8;5.93;11.402
;;0.299;3.0;11.74;58.6;5.86;11.437
;;0.3;3.0;11.77;54.9;5.93;11.402
;;0.301;3.0;11.78;54.7;5.93;11.404
;;0.302;3.0;11.78;54.7;5.93;11.409
;;0.303;3.0;11.78;54.7;5.93;11.412
;;0.304;3.0;11.78;54.7;5.93;11.418
;;0.305;3.0;11.78;54.5;5.93;11.421
;;0.306;3.0;11.75;58.4;5.87;11.437
;;0.307;3.0;11.78;53.9;5.95;11.425
;;0.308;3.0;11.78;53.2;5.96;11.426
;;0.309;3.0;11.78;53.6;5.95;11.425
;;0.31;3.0;11.78;56.0;5.91;11.421
;;0.311;3.0;11.78;58.2;5.87;11.403
;;0.312;3.0;11.78;54.9;5.93;11.399
;;0.313;3.0;11.75;58.3;5.87;11.437
;;0.314;3.0;11.77;56.5;5.9;11.4
;;0.315;3.0;11.77;56.5;5.9;11.395
;;0.316;3.0;11.77;56.7;5.9;11.392
;;0.317;3.0;11.75;58.2;5.87;11.436
;;0.318;3.0;11.75;58.1;5.87;11.434
;;0.32;3.0;11.75;50.5;6.01;11.415
;;0.324;3.0;11.75;51.5;5.99;11.413
;;0.329;3.0;11.75;51.3;5.99;11.411
;;0.332;3.0;11.75;51.1;5.99;11.408
;;0.336;3.0;11.75;51.3;5.99;11.406
;;0.34;3.0;11.75;52.0;5.98;11.403
;;0.345;3.0;11.74;52.4;5.97;11.4
;;0.352;3.0;11.74;52.5;5.97;11.396
;;0.357;3.0;11.74;52.5;5.97;11.394
;;0.363;3.0;11.74;52.4;5.97;11.39
;;0.367;3.0;11.74;52.2;5.98;11.388
;;0.373;3.0;11.74;52.0;5.98;11.385
;;0.384;3.0;11.74;52.0;5.98;11.383
;;0.395;3.0;11.74;52.1;5.98;11.38
;;0.408;3.0;11.74;52.2;5.98;11.378
;;0.423;3.0;11.74;52.1;5.98;11.375
;;0.444;3.0;11.74;52.0;5.98;11.373
;;0.464;3.0;11.74;51.9;5.98;11.371
;;1.215;3.0;11.74;51.9;5.98;11.368
;;1.321;3.0;11.74;51.9;5.98;11.365
;;1.443;3.0;11.74;52.0;5.98;11.362
;;1.479;3.0;11.74;51.9;5.98;11.358
;;1.488;3.0;11.74;51.9;5.98;11.355
;;1.516;3.0;11.74;51.8;5.98;11.352
;;1.567;3.0;11.74;51.8;5.98;11.349
;;1.618;3.0;11.74;51.8;5.98;11.346
;;1.655;3.0;11.74;51.8;5.98;11.343
;;1.692;3.0;11.73;51.6;5.99;11.34
;;1.728;3.0;11.73;51.5;5.99;11.337
;;1.767;3.0;11.73;51.3;5.99;11.333
;;1.816;3.0;11.73;51.4;5.99;11.33
;;1.859;3.0;11.73;51.4;5.99;11.326
;;1.899;3.0;11.73;51.5;5.99;11.323
;;1.94;3.0;11.73;51.6;5.99;11.319
;;1.99;3.0;11.73;51.6;5.99;11.316
;;2.032;3.0;11.73;51.6;5.98;11.311
;;2.074;3.0;11.73;51.6;5.99;11.307
;;2.866;3.0;11.73;51.4;5.99;11.303
;;2.949;3.0;11.73;51.3;5.99;11.299
;;3.103;3.0;11.73;51.3;5.99;11.294
;;3.118;3.0;11.73;51.3;5.99;11.29
;;3.159;3.0;11.73;51.2;5.99;11.286
;;3.224;3.0;11.73;51.1;5.99;11.282
;;3.271;3.0;11.72;51.0;6.0;11.277
;;3.316;3.0;11.72;50.9;6.0;11.273
;;3.349;3.0;11.72;51.0;6.0;11.267
;;3.38;3.0;11.72;51.0;6.0;11.261
;;3.408;3.0;11.72;50.9;6.0;11.254
;;3.441;3.0;11.72;50.9;6.0;11.247
;;3.471;3.0;11.72;50.9;6.0;11.238
;;3.504;3.0;11.72;50.9;6.0;11.229
;;3.538;3.0;11.71;51.0;6.0;11.214
;;3.573;3.0;11.71;51.0;6.0;11.199
;;3.618;3.0;11.71;51.0;6.0;11.18
;;3.655;3.0;11.72;50.8;6.0;11.163
;;3.692;3.0;11.72;50.8;6.0;11.141
;;3.726;3.0;11.72;50.9;6.0;11.122
;;3.76;3.0;11.73;50.9;6.0;11.098
;;3.802;3.0;11.73;50.8;6.0;11.076
;;4.675;3.0;11.74;50.7;6.0;11.049
;;4.791;3.0;11.75;50.8;6.0;11.025
;;4.958;3.0;11.76;50.8;6.0;10.995
;;5.015;3.0;11.77;50.9;6.0;10.969
;;5.086;3.0;11.78;50.9;6.0;10.938
;;5.166;3.0;11.79;51.0;5.99;10.915
;;5.24;3.0;11.8;51.0;5.99;10.887
;;5.321;3.0;11.81;51.1;5.99;10.862
;;5.403;3.0;11.82;51.2;5.99;10.833
;;5.461;3.0;11.83;51.1;5.99;10.808
;;5.52;3.0;11.84;51.0;5.99;10.779
;;5.578;3.0;11.85;51.0;5.99;10.755
;;5.64;3.0;11.86;50.9;6.0;10.73
;;5.694;3.0;11.87;50.9;6.0;10.709
;;5.746;3.0;11.88;51.0;5.99;10.686
;;5.795;3.0;11.88;51.1;5.99;10.667
;;6.548;3.0;11.89;51.0;5.99;10.645
;;6.611;3.0;11.9;50.9;6.0;10.627
;;6.71;3.0;11.9;50.8;6.0;10.608
;;6.775;3.0;11.91;50.7;6.0;10.591
;;6.793;3.0;11.92;50.6;6.0;10.573
;;6.857;3.0;11.92;50.5;6.0;10.557
;;6.933;3.0;11.92;50.5;6.0;10.541
;;6.989;3.0;11.92;50.5;6.0;10.525
;;7.044;3.0;11.92;50.4;6.0;10.491
;;7.092;3.0;11.93;50.3;6.01;10.482
;;7.158;3.0;11.93;50.3;6.01;10.441
;;7.211;3.0;11.93;50.2;6.01;10.43
;;7.259;3.0;11.93;50.2;6.01;10.403
;;7.307;3.0;11.94;50.2;6.01;10.377
;;7.36;3.0;11.94;50.0;6.01;10.346
;;7.402;3.0;11.94;49.9;6.01;10.293
;;7.441;3.0;11.94;50.0;6.01;10.271
;;7.48;3.0;11.95;50.1;6.01;10.209
;;7.516;3.0;11.95;50.2;6.01;10.187
;;7.557;3.0;11.96;50.3;6.01;10.125
;;7.589;3.0;11.98;50.3;6.0;10.078
;;7.619;3.0;11.98;50.2;6.01;10.036
;;7.649;3.0;11.99;50.1;6.01;9.99
;;7.68;3.0;12.0;50.0;6.01;9.945
;;8.479;3.0;12.02;49.9;6.01;9.888
;;8.6;3.0;12.02;49.8;6.01;9.839
;;8.714;3.0;12.05;43.4;6.13;9.773
;;8.731;3.0;12.06;43.4;6.13;9.707
;;8.783;3.0;12.1;43.6;6.12;9.635
;;8.822;3.0;12.14;43.7;6.12;9.565
;;8.853;3.0;12.17;42.9;6.13;9.482
;;8.889;3.0;12.21;42.1;6.15;9.403
;;8.929;3.0;12.25;41.2;6.16;9.319
;;8.97;3.0;12.3;40.3;6.18;9.244
;;9.011;3.0;12.35;39.6;6.19;9.152
;;9.028;3.0;12.41;38.9;6.2;9.073
;;9.071;3.0;12.48;38.3;6.21;8.988
;;9.082;3.0;12.54;37.8;6.22;8.91
;;9.116;3.0;12.6;37.5;6.23;8.818
;;9.144;3.0;12.66;37.2;6.23;8.742
;;9.175;3.0;12.73;36.9;6.24;8.664
;;9.228;3.0;12.79;36.6;6.24;8.6
;;9.261;3.0;12.84;36.3;6.25;8.526
;;9.294;3.0;12.91;36.2;6.25;8.462
;;9.312;3.0;12.98;36.0;6.25;8.406
;;9.357;3.0;13.04;29.7;6.37;8.35
;;9.385;3.0;13.1;30.5;6.35;8.285
;;9.412;3.0;13.16;28.5;6.39;8.234
;;9.438;3.0;13.21;27.1;6.41;8.183
;;9.47;3.0;13.26;27.0;6.41;8.141
;;9.496;3.0;13.3;27.0;6.41;8.1
;;10.343;3.0;13.35;26.9;6.41;8.065
;;10.398;3.0;13.39;31.5;6.33;8.029
;;10.499;3.0;13.43;28.6;6.38;7.997
;;10.528;3.0;13.47;29.5;6.37;7.962
;;10.556;3.0;13.5;28.7;6.38;7.937
;;10.596;3.0;13.53;27.5;6.4;7.92
;;10.638;3.0;13.55;26.1;6.43;7.891
;;10.683;3.0;13.57;25.4;6.44;7.857
;;10.725;3.0;13.59;25.6;6.44;7.832
;;10.766;3.0;13.61;26.1;6.43;7.807
;;10.809;3.0;13.63;26.0;6.43;7.776
;;10.847;3.0;13.65;25.7;6.43;7.747
;;10.89;3.0;13.67;25.4;6.44;7.72
;;10.925;3.0;13.68;25.2;6.44;7.694
;;10.962;3.0;13.7;24.8;6.45;7.666
;;11.0;3.0;13.71;24.6;6.45;7.632
;;11.049;3.0;13.72;24.3;6.46;7.598
;;11.09;3.0;13.73;24.1;6.46;7.555
;;11.131;3.0;13.74;23.8;6.47;7.513
;;11.17;3.0;13.75;23.5;6.47;7.468
;;11.21;3.0;13.76;23.4;6.47;7.431
;;11.991;3.0;13.77;23.2;6.48;7.382
;;12.11;3.0;13.78;23.1;6.48;7.333
;;12.153;3.0;13.78;23.0;6.48;7.276
;;12.234;3.0;13.8;22.9;6.48;7.218
;;12.268;3.0;13.81;22.7;6.49;7.146
;;12.335;3.0;13.82;17.2;6.58;7.087
;;12.387;3.0;13.83;17.0;6.59;7.026
;;12.427;3.0;13.84;19.6;6.54;6.972
;;12.463;3.0;13.85;20.5;6.53;6.915
;;12.508;3.0;13.86;19.6;6.54;6.865
;;12.549;3.0;13.88;18.7;6.56;6.813
;;12.59;3.0;13.89;17.9;6.57;6.769
;;12.629;3.0;13.9;17.8;6.57;6.714
;;12.67;3.0;13.91;17.8;6.57;6.667
;;12.717;3.0;13.92;17.7;6.58;6.622
;;12.756;3.0;13.93;17.6;6.58;6.587
;;12.795;3.0;13.94;17.5;6.58;6.551
;;12.833;3.0;13.95;17.4;6.58;6.522
;;12.879;3.0;13.95;17.1;6.59;6.488
;;12.916;3.0;13.96;17.0;6.59;6.458
;;12.954;3.0;13.97;16.8;6.59;6.425
;;13.726;3.0;13.98;16.6;6.6;6.397
;;13.764;3.0;13.99;16.4;6.6;6.367
;;13.868;2.0;14.0;16.2;6.6;6.339
;;13.93;2.0;14.0;16.3;6.6;6.306
;;13.946;2.0;14.01;16.3;6.6;6.283
;;13.99;2.0;14.02;16.2;6.6;6.259
;;14.064;2.0;14.02;16.0;6.6;6.233
;;14.122;2.0;14.03;15.9;6.61;6.202
;;14.177;2.0;14.03;15.7;6.61;6.175
;;14.233;2.0;14.04;15.6;6.61;6.142
;;14.285;2.0;14.04;15.3;6.62;6.115
;;14.349;2.0;14.04;15.0;6.62;6.083
;;14.395;2.0;14.05;14.8;6.63;6.059
;;14.44;2.0;14.05;14.6;6.63;6.032
;;14.483;2.0;14.05;14.4;6.63;6.007
;;14.532;2.0;14.05;14.2;6.64;5.977
;;14.572;2.0;14.05;14.0;6.64;5.952
;;14.606;2.0;14.06;13.8;6.64;5.927
;;14.642;2.0;14.05;13.6;6.65;5.905
;;15.403;2.0;14.05;13.5;6.65;5.88
;;15.473;2.0;14.05;13.3;6.65;5.858
;;15.581;2.0;14.05;13.1;6.66;5.836
;;15.729;2.0;14.05;13.0;6.66;5.813
;;15.739;2.0;14.05;13.0;6.66;5.787
;;15.785;2.0;14.05;13.0;6.66;5.765
;;15.842;2.0;14.05;13.0;6.66;5.736
;;15.879;2.0;14.05;12.8;6.66;5.713
;;15.92;2.0;14.05;12.6;6.67;5.686
;;15.974;2.0;14.05;12.6;6.67;5.662
