date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
07/09/2015;14:39;0.01;2.6;10.28;47.0;5.26;13.91
;;0.016;2.6;10.28;47.0;5.26;13.908
;;0.022;2.6;10.28;47.1;5.26;13.904
;;0.033;2.6;10.28;47.2;5.26;13.9
;;0.043;2.6;10.27;47.2;5.26;13.894
;;0.055;2.6;10.27;47.2;5.26;13.884
;;0.068;2.6;10.27;47.2;5.26;13.869
;;0.082;2.6;10.27;47.2;5.26;13.856
;;0.102;2.6;10.27;47.1;5.26;13.838
;;0.118;2.6;10.26;47.1;5.26;13.82
;;0.136;2.6;10.26;47.1;5.26;13.796
;;0.155;2.6;10.26;47.1;5.26;13.776
;;0.179;2.6;10.26;47.0;5.26;13.753
;;0.2;2.6;10.26;47.0;5.26;13.735
;;0.221;2.6;10.25;47.0;5.26;13.715
;;0.243;2.6;10.25;47.0;5.26;13.698
;;0.266;2.6;10.25;47.0;5.26;13.678
;;1.03;2.6;10.25;46.9;5.26;13.66
;;1.085;2.6;10.25;46.8;5.26;13.635
;;1.087;2.6;10.25;46.8;5.27;13.623
;;1.09;2.6;10.25;46.9;5.26;13.645
;;1.109;2.6;10.25;46.6;5.27;13.614
;;1.154;2.6;10.25;46.4;5.27;13.606
;;1.188;2.6;10.25;46.2;5.28;13.601
;;1.22;2.6;10.25;46.1;5.28;13.595
;;1.255;2.6;10.24;45.9;5.28;13.588
;;1.295;2.6;10.24;45.7;5.28;13.578
;;1.326;2.6;10.24;45.6;5.29;13.567
;;1.358;2.6;10.23;45.4;5.29;13.545
;;1.392;2.6;10.22;45.3;5.29;13.522
;;1.428;2.6;10.22;45.2;5.29;13.491
;;1.458;2.6;10.21;45.1;5.29;13.459
;;1.491;2.6;10.21;45.0;5.3;13.419
;;1.527;2.6;10.21;44.9;5.3;13.384
;;1.564;2.6;10.21;44.8;5.3;13.343
;;1.606;2.6;10.21;44.7;5.3;13.308
;;1.643;2.6;10.21;44.5;5.3;13.265
;;2.42;2.6;10.21;44.4;5.3;13.228
;;2.486;2.6;10.21;44.3;5.31;13.184
;;2.524;2.6;10.22;44.3;5.31;13.148
;;2.569;2.6;10.22;44.2;5.31;13.111
;;2.614;2.6;10.23;44.0;5.31;13.083
;;2.664;2.6;10.24;43.9;5.31;13.058
;;2.722;2.6;10.25;43.7;5.32;13.039
;;2.761;2.6;10.25;43.5;5.32;13.025
;;2.79;2.6;10.26;43.3;5.32;13.015
;;2.808;2.6;10.26;43.1;5.32;13.004
;;2.836;2.6;10.27;43.0;5.33;12.992
