degree_celsius,humidity,ph,latitude,longitude,date et heure
27.7500,338,5.5884,45.19137573,5.75408983,27/6/2021 19:16:55
27.7500,341,5.6083,45.19137573,5.75408983,27/6/2021 19:16:56
27.7500,340,5.6055,45.19137573,5.75408983,27/6/2021 19:16:58
27.7500,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:0
27.7500,338,5.5969,45.19137573,5.75408983,27/6/2021 19:17:1
27.7500,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:3
27.7500,337,5.5827,45.19137573,5.75408983,27/6/2021 19:17:4
27.7500,340,5.5998,45.19137573,5.75408983,27/6/2021 19:17:6
27.6875,341,5.6055,45.19137573,5.75408983,27/6/2021 19:17:7
27.6875,339,5.5969,45.19137573,5.75408983,27/6/2021 19:17:9
27.6875,341,5.6140,45.19137573,5.75408983,27/6/2021 19:17:10
27.6875,339,5.6055,45.19137573,5.75408983,27/6/2021 19:17:12
27.7500,337,5.5713,45.19137573,5.75408983,27/6/2021 19:17:13
27.7500,339,5.5941,45.19137573,5.75408983,27/6/2021 19:17:15
27.7500,337,5.5713,45.19137573,5.75408983,27/6/2021 19:17:16
27.6875,341,5.6112,45.19137573,5.75408983,27/6/2021 19:17:17
27.7500,339,5.6055,45.19137573,5.75408983,27/6/2021 19:17:19
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:21
27.7500,338,5.5884,45.19137573,5.75408983,27/6/2021 19:17:22
27.6875,340,5.6026,45.19137573,5.75408983,27/6/2021 19:17:24
27.6875,337,5.5884,45.19137573,5.75408983,27/6/2021 19:17:25
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:27
27.6875,342,5.6226,45.19137573,5.75408983,27/6/2021 19:17:28
27.6875,339,5.6055,45.19137573,5.75408983,27/6/2021 19:17:30
27.6875,337,5.5884,45.19137573,5.75408983,27/6/2021 19:17:31
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:33
27.6875,337,5.5798,45.19137573,5.75408983,27/6/2021 19:17:34
27.6875,340,5.5998,45.19137573,5.75408983,27/6/2021 19:17:36
27.6875,337,5.5827,45.19137573,5.75408983,27/6/2021 19:17:37
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:38
27.6875,339,5.6055,45.19137573,5.75408983,27/6/2021 19:17:40
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:41
27.6875,339,5.5941,45.19137573,5.75408983,27/6/2021 19:17:43
27.6875,341,5.6055,45.19137573,5.75408983,27/6/2021 19:17:44
27.6875,339,5.6026,45.19137573,5.75408983,27/6/2021 19:17:46
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:48
27.6875,337,5.5884,45.19137573,5.75408983,27/6/2021 19:17:49
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:51
27.6875,341,5.6226,45.19137573,5.75408983,27/6/2021 19:17:52
27.6875,340,5.6169,45.19137573,5.75408983,27/6/2021 19:17:54
27.6875,338,5.5884,45.19137573,5.75408983,27/6/2021 19:17:55
27.6250,339,5.5884,45.19137573,5.75408983,27/6/2021 19:17:57
27.6875,337,5.5884,45.19137573,5.75408983,27/6/2021 19:17:58
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:17:59
27.6250,339,5.5998,45.19137573,5.75408983,27/6/2021 19:18:1
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:3
27.6250,340,5.6169,45.19137573,5.75408983,27/6/2021 19:18:4
27.6875,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:6
27.6250,337,5.5884,45.19137573,5.75408983,27/6/2021 19:18:7
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:9
27.6875,337,5.5713,45.19137573,5.75408983,27/6/2021 19:18:10
27.6250,340,5.6026,45.19137573,5.75408983,27/6/2021 19:18:12
27.6250,341,5.6055,45.19137573,5.75408983,27/6/2021 19:18:13
27.6250,339,5.6026,45.19137573,5.75408983,27/6/2021 19:18:15
27.6250,337,5.5855,45.19137573,5.75408983,27/6/2021 19:18:16
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:17
27.6250,339,5.5969,45.19137573,5.75408983,27/6/2021 19:18:19
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:20
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:22
27.6250,337,5.5884,45.19137573,5.75408983,27/6/2021 19:18:23
27.6250,340,5.6026,45.19137573,5.75408983,27/6/2021 19:18:25
27.6250,337,5.5713,45.19137573,5.75408983,27/6/2021 19:18:26
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:28
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:29
27.6250,339,5.6055,45.19137573,5.75408983,27/6/2021 19:18:31
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:32
27.6250,339,5.5941,45.19137573,5.75408983,27/6/2021 19:18:34
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:35
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:37
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:39
27.6250,341,5.6197,45.19137573,5.75408983,27/6/2021 19:18:40
27.6250,339,5.6026,45.19137573,5.75408983,27/6/2021 19:18:42
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:43
27.6250,339,5.6026,45.19137573,5.75408983,27/6/2021 19:18:45
27.6250,337,5.5713,45.19137573,5.75408983,27/6/2021 19:18:46
27.6250,336,5.5684,45.19137573,5.75408983,27/6/2021 19:18:47
27.6250,340,5.5998,45.19137573,5.75408983,27/6/2021 19:18:49
27.6250,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:50
27.6250,339,5.6026,45.19137573,5.75408983,27/6/2021 19:18:52
27.6250,337,5.5884,45.19137573,5.75408983,27/6/2021 19:18:53
27.5625,339,5.5998,45.19137573,5.75408983,27/6/2021 19:18:55
27.5625,340,5.5941,45.19137573,5.75408983,27/6/2021 19:18:56
27.5625,339,5.6055,45.19137573,5.75408983,27/6/2021 19:18:58
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:18:59
27.6250,339,5.5941,45.19137573,5.75408983,27/6/2021 19:19:1
